10|Wales|6
8|Republic_of_Macedonia|5
7|Netherlands|6
7|Oman|5
7|Tanzania|6
7|Tunisia|6
6|Democratic_Republic_of_the_Congo|5
6|Denmark|6
6|El_Salvador|6
6|Namibia|5
6|Nepal|5
6|Oman|6
6|Pakistan|6
6|Peru|5
6|South_Korea|5
6|United_States|5
5|Jordan|5
5|Kazakhstan|6
5|Madagascar|5
5|Nepal|6
5|Norway|5
5|Pakistan|5
5|Peru|6
5|Poland|5
5|Romania|6
5|United_Kingdom|5
5|United_Kingdom|6
5|United_States|11
5|Zambia|5
4|Afghanistan|5
4|Afghanistan|11
4|Algeria|6
4|Austria|6
4|Burma|6
4|Cameroon|10
4|Canada|6
4|Canada|11
4|Chad|5
4|China|6
4|Croatia|5
4|Denmark|11
4|Dominican_Republic|5
4|Dominican_Republic|6
4|Estonia|5
4|Estonia|11
4|Ethiopia|5
4|Hong_Kong|5
4|Hong_Kong|6
4|Hungary|5
4|Hungary|6
4|Iran|6
4|Italy|6
4|Japan|6
4|Laos|5
4|Lithuania|5
4|Madagascar|11
4|Malaysia|6
4|Mauritania|5
4|Mauritius|5
4|Mauritius|6
4|Mexico|6
4|Mongolia|5
4|New_Zealand|12
4|Poland|6
4|Republic_of_Ireland|6
4|Russia|5
4|Singapore|11
4|Slovakia|5
4|Slovenia|5
4|Tajikistan|5
4|Ukraine|6
4|United_States|6
4|Yemen|5
4|Yemen|6
3|Algeria|5
3|Angola|5
3|Argentina|5
3|Austria|5
3|Azerbaijan|6
3|Azerbaijan|12
3|Belarus|5
3|Belgium|6
3|Brazil|6
3|Cambodia|5
3|Canada|5
3|Chile|11
3|Chile|12
3|China|5
3|Colombia|11
3|Croatia|6
3|Croatia|10
3|Cuba|6
3|Cuba|11
3|Czech_Republic|10
3|Dominican_Republic|11
3|El_Salvador|4
3|France|5
3|France|6
3|France|9
3|Germany|12
