8|0|2010|1|South_America
4|1|2010|1|North_America
248|3385|2010|1|Europe
89|9|2010|1|Asia
18|3|2010|1|Africa
116|64|2010|2|South_America
183|422|2010|2|North_America
368|932|2010|2|Europe
3|0|2010|2|Australia
1620|9105|2010|2|Asia
160|113|2010|2|Africa
77|81|2010|3|South_America
52|51|2010|3|North_America
179|366|2010|3|Europe
17|82|2010|3|Australia
387|822|2010|3|Asia
130|13|2010|3|Africa
137|212|2010|4|South_America
224|339|2010|4|North_America
409|1523|2010|4|Europe
18|14|2010|4|Australia
1150|2256|2010|4|Asia
255|1160|2010|4|Africa
169|840|2010|5|South_America
181|241|2010|5|North_America
557|1736|2010|5|Europe
20|2|2010|5|Australia
1718|5139|2010|5|Asia
547|527|2010|5|Africa
305|2031|2010|6|South_America
508|712|2010|6|North_America
1875|5092|2010|6|Europe
36|3|2010|6|Australia
3712|8173|2010|6|Asia
1045|1998|2010|6|Africa
461|641|2010|7|South_America
346|407|2010|7|North_America
1243|3453|2010|7|Europe
54|602|2010|7|Australia
3270|7327|2010|7|Asia
764|1398|2010|7|Africa
363|481|2010|8|South_America
504|1120|2010|8|North_America
1373|1931|2010|8|Europe
43|10|2010|8|Australia
3069|6002|2010|8|Asia
897|2515|2010|8|Africa
318|438|2010|9|South_America
306|391|2010|9|North_America
1069|1898|2010|9|Europe
47|116|2010|9|Australia
2674|6960|2010|9|Asia
593|1407|2010|9|Africa
866|2298|2010|10|South_America
1151|3034|2010|10|North_America
3015|9269|2010|10|Europe
123|130|2010|10|Australia
6693|16484|2010|10|Asia
1510|3564|2010|10|Africa
362|1014|2010|11|South_America
589|979|2010|11|North_America
1686|2487|2010|11|Europe
51|0|2010|11|Australia
4118|9136|2010|11|Asia
900|2110|2010|11|Africa
397|1276|2010|12|South_America
581|934|2010|12|North_America
1995|6852|2010|12|Europe
47|118|2010|12|Australia
5339|20192|2010|12|Asia
894|2463|2010|12|Africa
639|903|2011|1|South_America
675|2030|2011|1|North_America
2724|8155|2011|1|Europe
114|131|2011|1|Australia
5769|12300|2011|1|Asia
1381|4351|2011|1|Africa
485|1130|2011|2|South_America
550|1298|2011|2|North_America
2301|5604|2011|2|Europe
58|139|2011|2|Australia
5387|12479|2011|2|Asia
1009|2417|2011|2|Africa
551|1278|2011|3|South_America
558|1014|2011|3|North_America
2194|7247|2011|3|Europe
62|19|2011|3|Australia
5831|13069|2011|3|Asia
1072|2578|2011|3|Africa
385|1042|2011|4|South_America
468|1114|2011|4|North_America
1789|5540|2011|4|Europe
82|271|2011|4|Australia
4168|10093|2011|4|Asia
845|2715|2011|4|Africa
232|1106|2011|5|South_America
282|374|2011|5|North_America
1082|3076|2011|5|Europe
53|377|2011|5|Australia
1989|4209|2011|5|Asia
