Group for Akbar in Möckern|36
Group for Donald_Duck in Móng_Cái|30
Group for Alice_Cooper in Lashkar_Gah|24
Group for Strangers_in_the_Night in Ponce|24
Group for Hosni_Mubarak in Berlin|22
Group for Ben_Jonson in Chişinău|22
Group for Mariano_Rivera in Nagasaki|22
Group for Charlie_Chaplin in Shymkent|22
Group for Tiberius in Dengzhou|21
Group for William_Faulkner in Ponce|21
Group for Svetlana_Kuznetsova in Kitengela|20
Group for Gerald_Ford in Philadelphia|20
Group for Johannes_Brahms in Cluj-Napoca|20
Group for Have_You_Ever_Loved_a_Woman in Sialkot|20
Group for James_Cook in Ghaziabad|20
Group for Augustine_of_Hippo in Nanjing|18
Group for Universal_Studios in Gaocheng|18
Group for Ice_Ice_Baby in Berlin|18
Group for Gil_Kane in Topi|18
Group for Nicolaus_Copernicus in Ghaziabad|18
