2199023256816|231|440|49|4911
17592186053568|509|247|100|3588
2199023255660|0|255|1|2551
7664|264|183|59|2417
4398046514418|267|164|51|2225
6597069777015|202|167|42|2116
4139|41|199|21|2093
2199023264682|0|203|1|2031
17592186045408|444|101|89|1987
4398046513827|84|173|15|1913
13194139543072|362|108|78|1882
15393162793310|9|170|4|1722
10995116283243|7|159|2|1606
2199023263814|80|138|18|1558
10995116282640|7|149|3|1507
2191|163|115|28|1504
9401|285|86|51|1481
17592186049193|6|129|3|1305
6597069772672|94|105|22|1260
30786325585383|10|123|2|1252
10995116284131|224|73|55|1233
17592186048525|113|92|25|1171
2199023263626|68|101|17|1163
2199023256351|24|109|5|1143
2199023258743|20|106|4|1104
2965|14|100|5|1033
6597069767729|3|101|1|1017
10825|166|60|31|963
6597069768287|1|94|2|944
10995116286908|5|93|1|941
17592186047786|87|70|19|893
2199023265643|8|86|6|882
4398046515688|31|81|10|882
6597069772017|100|66|18|878
2199023265421|54|70|13|821
6597069777302|152|47|36|810
30786325582663|3|78|4|790
17592186045238|1|78|1|783
7924|48|67|11|777
8137|12|75|2|776
17592186048261|245|21|56|756
4398046515437|49|61|9|717
8796093026653|41|62|11|713
13194139538706|2|70|1|705
4398046521540|6|66|3|675
15393162794788|51|56|9|671
2199023259875|21|58|7|629
4398046513174|3|61|2|618
6597069769478|55|49|7|607
2199023260779|13|57|9|605
10995116280941|2|60|1|605
19791209305295|5|59|3|603
15393162790796|10|57|10|600
2199023261462|19|53|10|578
9995|8|54|7|563
17592186049651|71|36|14|516
8796093026755|158|17|29|515
8796093026604|7|49|2|506
2199023260739|69|35|13|501
2199023260847|135|20|30|500
13194139537478|7|46|2|476
15393162799690|7|45|7|471
10995116285817|8|45|3|469
4398046512826|20|42|8|468
10995116287795|5|44|4|454
6255|191|1|35|427
1847|14|39|4|422
2199023257653|101|19|16|408
6597069773117|77|23|16|400
17592186047354|1|38|1|383
267|5|36|4|374
19791209302191|2|34|3|347
6597069770057|2|34|1|345
2199023263799|2|33|1|335
6597069767464|96|10|19|311
8796093029978|5|30|1|311
4398046517229|17|26|10|304
3764|101|7|24|296
21990232559060|81|12|13|295
13194139539393|130|0|28|288
2199023260582|32|21|5|279
4398046515067|16|23|8|270
24189255816760|20|22|6|266
4398046513018|18|21|8|254
13194139535703|15|22|3|253
24189255813579|14|22|3|251
10995116286159|77|7|18|242
6568|7|22|2|236
15393162790472|11|20|2|224
2199023263715|69|7|12|220
6597069768236|2|21|3|217
6597069772222|89|2|16|214
21990232558657|91|1|21|213
15393162795214|87|2|15|209
21990232561230|94|0|20|208
10995116282724|84|2|17|205
35184372094328|38|11|10|196
8796093028752|88|0|18|194
9616|80|1|22|192
21990232563941|75|1|15|175
