7725|238|1208
8796093029002|140|1102
17592186053137|8|1232
8796093023907|6|1208
9116|17|1189
4398046519372|5|1199
24189255817517|27|1151
4139|17|1099
13194139537478|7|1108
8796093028752|100|999
26388279074032|7|1084
4555|16|1065
24189255819727|8|1071
10995116280854|86|967
26388279075417|2|1022
2199023259756|3|1015
4398046513018|3|1001
8796093029854|10|992
4398046512826|9|989
2199023262543|3|977
8796093029267|5|967
2199023256816|62|845
10995116284808|7|896
6597069777240|8|894
10995116285387|5|894
21990232558990|8|865
19791209302403|9|853
21990232563274|4|836
19791209304051|1|834
8796093029365|6|811
17592186046293|5|792
4398046517791|3|781
13194139535025|2|759
28587302332758|1|747
17592186050385|101|634
17592186052746|4|717
26388279070362|3|717
3587|1|718
15393162795439|2|717
8796093030527|5|712
26388279076187|2|711
15393162796861|6|704
24189255817201|5|696
32985348835207|100|601
8796093030364|3|670
4398046512267|3|669
6037|123|542
19791209301605|50|613
13194139535632|8|652
6597069777107|7|650
21990232556897|1|642
24189255811663|5|636
8796093025074|4|633
24189255821300|5|630
13194139540684|6|628
9401|9|624
13194139538575|4|627
32985348833798|100|525
15393162792614|3|608
26388279067534|3|608
24189255819439|1|602
13194139538144|1|598
4398046520894|4|591
15393162789604|21|570
35184372097707|100|491
13194139543018|1|586
2783|14|572
15393162790796|3|583
2199023258364|3|582
24189255820751|4|577
13194139534520|3|574
6597069767242|4|571
2199023259200|4|568
21990232558713|2|564
13194139533574|2|557
17592186052552|2|557
459|3|548
13194139541496|3|545
6597069775789|3|542
4398046513850|1|541
4398046512194|1|540
24189255812556|2|537
26388279077604|3|536
24189255817294|3|534
26388279068324|1|536
15393162794239|2|534
13194139536241|2|531
4398046512890|2|527
10240|5|520
15393162789093|1|524
6597069774643|1|518
4398046514418|5|510
1847|13|501
10995116281841|52|459
17592186052272|6|505
24189255815731|1|510
2199023262021|2|508
10995116284740|3|507
4398046513186|5|504
24189255814889|8|501
