0|4051
1|1101
2|785
3|608
4|524
5|456
6|360
7|290
8|257
9|231
10|171
11|165
12|147
13|125
14|117
15|109
17|98
16|92
20|91
21|77
18|76
19|74
22|64
26|60
25|59
23|55
28|47
24|46
31|41
27|39
29|36
32|35
33|26
30|26
34|25
35|23
39|22
37|20
36|20
42|19
41|18
40|17
45|15
38|15
46|14
43|12
55|11
48|11
44|11
56|9
50|9
49|8
63|7
82|6
78|6
70|6
59|6
57|6
53|6
52|6
58|5
51|5
47|5
85|4
77|4
74|4
71|4
68|4
64|4
61|4
54|4
102|3
79|3
72|3
69|3
67|3
66|3
65|3
62|3
60|3
211|2
135|2
118|2
92|2
89|2
83|2
81|2
73|2
288|1
281|1
267|1
252|1
245|1
226|1
212|1
209|1
207|1
187|1
172|1
163|1
158|1
150|1
148|1
145|1
140|1
134|1
133|1
130|1
129|1
128|1
120|1
119|1
117|1
116|1
115|1
112|1
111|1
109|1
108|1
107|1
101|1
100|1
97|1
96|1
95|1
94|1
91|1
90|1
87|1
86|1
80|1
