137439023186|8|379
412317916558|11|248
824633756518|6|107
274877929376|15|111
87312|84|1
824633760102|24|95
137439053948|3|51
412316898372|5|45
65459|34|1
1049220|6|30
687195823675|1|23
1236950650614|1|19
1236950674486|51|67
55025|19|5
549755820112|2|16
137438983913|14|1
962072677348|11|2
8284|5|12
549755875109|9|2
1511828520965|8|1
18882|2|8
274877912939|7|1
549755820113|8|2
1099511699971|7|1
1511828569787|1|7
63330|5|10
137438980102|6|1
137439003781|6|1
22003|8|12
1099511667258|5|1
824633749375|4|1
1099511632146|4|1
1786706485513|13|10
22187|4|2
549755864549|3|1
412316863076|2|1
412316945853|1|2
549755863266|5|4
549755877640|2|3
1099511672276|2|1
1099511723561|5|4
1236950671425|2|1
274878004227|2|2
1786706403229|1|1
1786706472527|1|1
