87312|Wall of Adriaan Dijk|2010-01-29 18:28:41|9116|376
962072709125|Wall of Annemarie Jong|2011-03-14 18:00:24|15393162799356|42
1099511681390|Wall of Annemarie Jong|2011-06-05 12:11:21|17592186047338|39
1374389612546|Group for Friedrich_Nietzsche in Utrecht|2011-10-26 15:32:38|4398046521355|33
137439007522|Wall of Adriaan Jong|2010-04-20 15:46:23|2199023258752|31
137439042045|Wall of Andre Jong|2010-04-01 15:56:18|2199023265089|24
962072700438|Wall of Ad Jong|2011-05-01 03:27:01|15393162789489|24
962072748306|Wall of Albertus Jong|2011-03-11 10:17:49|15393162797600|22
412316879676|Wall of Adje van den Berg Berg|2010-08-05 01:52:47|6597069769226|16
549755892959|Wall of Albert Bolier|2010-09-16 00:57:05|8796093031407|16
412316868978|Wall of Ab Dijk|2010-07-26 02:38:29|6597069773598|15
1099511673067|Wall of Alfred Jong|2011-06-04 02:36:13|17592186047813|13
274877999639|Wall of Adriaan Jong|2010-06-03 00:46:26|4398046518685|12
1374389577028|Wall of Abraham Jong|2011-10-06 06:17:04|21990232564143|11
1649267469224|Wall of Adriana Berg|2012-02-18 18:50:23|26388279077262|11
274877984766|Wall of Aad Meijer|2010-05-19 02:02:30|4398046521355|9
24635|Wall of Angela Muller|2010-01-27 21:41:26|1984|8
549755897088|Wall of Albert Jong|2010-10-18 22:56:56|8796093031875|8
824633803123|Wall of Aad De Berg|2011-01-11 22:34:29|13194139542675|8
412316961128|Wall of Aad Berg|2010-07-17 08:46:40|6597069771202|7
