{{26388279067527,8599},{8599,6597069777240},{6597069777240,21990232562871}}|50.0
{{26388279067527,19791209302403},{19791209302403,6597069777240},{6597069777240,21990232562871}}|34.0
{{26388279067527,21990232563274},{21990232563274,21990232556410},{21990232556410,21990232562871}}|16.5
{{26388279067527,19791209302403},{19791209302403,10995116285850},{10995116285850,21990232562871}}|16.0
{{26388279067527,21990232563274},{21990232563274,2199023265291},{2199023265291,21990232562871}}|13
{{26388279067527,32985348839821},{32985348839821,6597069777240},{6597069777240,21990232562871}}|12.5
{{26388279067527,19791209302403},{19791209302403,10995116288299},{10995116288299,21990232562871}}|11.5
{{26388279067527,19791209302403},{19791209302403,6597069775325},{6597069775325,21990232562871}}|11.0
{{26388279067527,19791209302403},{19791209302403,10995116281504},{10995116281504,21990232562871}}|9.5
{{26388279067527,4398046518969},{4398046518969,21990232556410},{21990232556410,21990232562871}}|9
{{26388279067527,4398046514593},{4398046514593,17592186050448},{17592186050448,21990232562871}}|8.5
{{26388279067527,19791209302403},{19791209302403,32985348833548},{32985348833548,21990232562871}}|7
{{26388279067527,4398046514593},{4398046514593,26388279077330},{26388279077330,21990232562871}}|7
{{26388279067527,21990232563274},{21990232563274,32985348833536},{32985348833536,21990232562871}}|5
{{26388279067527,4398046514593},{4398046514593,32985348833536},{32985348833536,21990232562871}}|3
{{26388279067527,32985348839821},{32985348839821,32985348842270},{32985348842270,21990232562871}}|2
{{26388279067527,37383395346636},{37383395346636,32985348839311},{32985348839311,21990232562871}}|0.5
